"","OBS","ARIMA","ETS","FTS_GA"
"1",6114300,6108287.64967284,6131695.74489268,NA
"2",6206700,6216246.66666671,6229240.56473821,NA
"3",6308800,6308646.66666667,6326782.61467534,NA
"4",6406300,6410746.66666667,6424323.32211708,6431086.31099901
"5",6513300,6508246.66666667,6521862.22256074,6530250.46103384
"6",6622400,6615246.66666667,6619401.21377386,6637548.06329106
"7",6717900,6724346.66666667,6716941.66248468,6734850.46103384
"8",6822700,6819846.66666667,6814482.00276514,6841513.93373016
"9",6928000,6924646.66666667,6912023.89197206,6946392.75456308
"10",7021200,7029946.66666667,7009568.15607686,7040013.93373016
"11",7131900,7123146.66666667,7107113.14878689,7145660.50380651
"12",7218500,7233846.66666667,7204661.93811014,7246624.94934625
"13",7324100,7320446.66666667,7302211.0154689,7342239.37508951
"14",7440000,7426046.66666667,7399763.08852395,7449175.51587371
"15",7549600,7541946.66666667,7497321.02363391,7564315.73264917
"16",7643500,7651546.66666667,7594885.3940388,7658215.73264917
"17",7726200,7745446.66666667,7692454.26060888,7753791.69278521
"18",7799800,7828146.66666667,7790025.01414482,7835361.72421242
"19",7879700,7901746.66666667,7887594.34547974,7917039.40172206
"20",7953400,7981646.66666667,7985161.11801821,7994304.87672355
"21",8016200,8055346.66666667,8082722.32379619,8057104.87672355
"22",8081000,8118146.66666667,8180273.3947735,8125973.43160821
